Question Number,Question,Answer,Category,Difficulty
681,What is a support vector machine (SVM)?,"SVM is a supervised learning algorithm used for classification and regression tasks, which finds the optimal hyperplane to separate data points.",Machine Learning,Medium
682,What is the purpose of the activation function in a neural network?,"The activation function introduces non-linearity to the network, enabling it to learn complex patterns.",Machine Learning,Medium
683,What is the bias-variance tradeoff?,The bias-variance tradeoff is the balance between a model's ability to generalize and its tendency to fit the training data too closely.,Machine Learning,Medium
684,What is gradient descent?,Gradient descent is an optimization algorithm used to minimize the loss function by adjusting model parameters in the direction of the negative gradient.,Machine Learning,Medium
685,What is a convolutional neural network (CNN)?,"CNN is a type of deep learning model used primarily for processing grid-like data, such as images.",Machine Learning,Medium
686,What is backpropagation?,Backpropagation is the process of updating the weights in a neural network by calculating the gradient of the loss function with respect to each weight.,Machine Learning,Medium
687,What is a random forest?,A random forest is an ensemble learning method that creates multiple decision trees and combines their predictions to improve accuracy.,Machine Learning,Medium
688,What is ensemble learning?,Ensemble learning involves combining predictions from multiple models to improve the overall performance.,Machine Learning,Medium
689,What is clustering?,Clustering is an unsupervised learning technique used to group similar data points into clusters based on their features.,Machine Learning,Medium
690,What is K-means clustering?,K-means clustering is an algorithm that partitions data into K distinct clusters based on feature similarity.,Machine Learning,Medium
691,What is a generative adversarial network (GAN)?,A GAN consists of two neural networks: a generator and a discriminator that are trained together to create realistic synthetic data.,Machine Learning,Medium
692,What is reinforcement learning?,Reinforcement learning is an area of machine learning where an agent learns to make decisions by interacting with an environment to maximize cumulative reward.,Machine Learning,Medium
693,What is transfer learning?,Transfer learning involves taking a pre-trained model and fine-tuning it on a new task with less data.,Machine Learning,Medium
694,What is natural language processing (NLP)?,"NLP is a field of AI focused on enabling machines to understand, interpret, and generate human language.",Machine Learning,Medium
695,What is a confusion matrix?,A confusion matrix is a table used to evaluate the performance of a classification algorithm by comparing predicted and actual values.,Machine Learning,Medium
696,What is precision in machine learning?,Precision is the ratio of correctly predicted positive observations to the total predicted positives.,Machine Learning,Medium
697,What is recall in machine learning?,Recall is the ratio of correctly predicted positive observations to the total actual positives.,Machine Learning,Medium
698,What is F1-score?,"The F1-score is the harmonic mean of precision and recall, providing a single metric that balances both.",Machine Learning,Medium
699,What is a ROC curve?,A ROC curve is a graphical representation of a classifier's performance by plotting true positive rate against false positive rate.,Machine Learning,Medium
700,What is AUC (Area Under the Curve)?,AUC is the area under the ROC curve and is used to measure the performance of a classification model.,Machine Learning,Medium
701,How would you choose the right algorithm for a problem?,"By considering the type of problem, data size, interpretability, and available compute resources.",Machine Learning,Medium
702,What is feature engineering?,The process of creating new input features or transforming existing ones to improve model performance.,Machine Learning,Medium
703,Explain bias-variance tradeoff.,Bias is error from wrong assumptions; variance is error from sensitivity to data fluctuations. Balance is key.,Machine Learning,Medium
704,What is a real-world use case of recommendation systems?,Netflix suggesting shows based on viewing history using collaborative filtering.,Machine Learning,Medium
705,How would you handle imbalanced datasets?,"By resampling techniques (oversampling/undersampling), using balanced metrics like F1 score, or penalized algorithms.",Machine Learning,Medium
706,How does gradient descent work?,It minimizes the loss function by iteratively updating weights in the direction of steepest descent.,Machine Learning,Medium
707,Explain ROC and AUC.,"ROC is a curve showing TPR vs FPR; AUC is the area under that curve, measuring classification performance.",Machine Learning,Medium
708,What is transfer learning?,A method where a model trained on one task is reused on a different but related task.,Machine Learning,Medium
709,How do you evaluate a regression model?,"Using metrics like Mean Squared Error (MSE), Root Mean Squared Error (RMSE), and R score.",Machine Learning,Medium
710,What is the curse of dimensionality?,"As features increase, data becomes sparse, making learning difficult and requiring more data.",Machine Learning,Medium
711,Design a recommendation system for a large e-commerce platform.,"Use collaborative filtering, content-based filtering, or hybrid methods; consider scalability and real-time processing.",Machine Learning,Hard
712,Develop a machine learning model to predict stock prices.,"Consider time series analysis, regression models, and reinforcement learning; pay attention to features and data preprocessing.",Machine Learning,Hard
713,Develop a deep learning model to analyze and interpret medical images.,"Use convolutional neural networks, pay attention to dataset quality and preprocessing, and handle class imbalances.",Machine Learning,Hard
714,Implement a natural language processing algorithm to understand and answer user queries.,"Use NLP techniques like tokenization, parsing, and deep learning models for understanding and generating responses.",Machine Learning,Hard
715,Develop a machine learning algorithm to detect fake news on social media.,"Use NLP for text analysis, implement classification algorithms, and consider the challenge of unstructured data.",Machine Learning,Hard
716,What is deep learning?,Deep learning is a subset of machine learning that involves neural networks with many layers to model complex patterns in large datasets.,Machine Learning,Hard
717,What is LSTM (Long Short-Term Memory)?,LSTM is a type of recurrent neural network (RNN) designed to handle long-term dependencies in sequential data.,Machine Learning,Hard
718,What is word2vec?,Word2vec is a technique to map words into vector representations such that similar words are close in the vector space.,Machine Learning,Hard
719,What is dimensionality reduction?,"Dimensionality reduction is the process of reducing the number of input features in a dataset, often through techniques like PCA (Principal Component Analysis).",Machine Learning,Hard
720,What is PCA (Principal Component Analysis)?,"PCA is a dimensionality reduction technique that transforms data into a new coordinate system, with the greatest variance on the first axis.",Machine Learning,Hard
721,What is regularization in machine learning?,Regularization techniques like L1 and L2 add penalties to the loss function to prevent overfitting by discouraging overly complex models.,Machine Learning,Hard
722,What is dropout in deep learning?,Dropout is a regularization technique where random neurons are ignored during training to prevent overfitting.,Machine Learning,Hard
723,What is a hyperparameter in machine learning?,"Hyperparameters are parameters that are set before training a model, such as learning rate, batch size, and number of layers.",Machine Learning,Hard
724,What is a kernel in support vector machines?,A kernel is a function that transforms data into a higher-dimensional space to make it easier to separate using hyperplanes.,Machine Learning,Hard
